filename,width,height,class,xmin,ymin,xmax,ymax
Data\images/03caafd8fc2746eb9daff902e9a5d10c.png,416,416,ANOM,377,364,403,400
Data\images/03caafd8fc2746eb9daff902e9a5d10c.png,416,416,ANOM,10,207,24,227
Data\images/03caafd8fc2746eb9daff902e9a5d10c.png,416,416,ANOM,93,62,109,86
Data\images/03caafd8fc2746eb9daff902e9a5d10c.png,416,416,ANOM,254,286,274,302
Data\images/0412715eba9642e19f8c6be54b7318c2.png,416,416,ANOM,119,101,160,138
Data\images/0412715eba9642e19f8c6be54b7318c2.png,416,416,ANOM,210,206,245,241
Data\images/0412715eba9642e19f8c6be54b7318c2.png,416,416,ANOM,357,218,389,252
Data\images/0412715eba9642e19f8c6be54b7318c2.png,416,416,ANOM,74,228,104,256
Data\images/0412715eba9642e19f8c6be54b7318c2.png,416,416,POL,258,28,329,95
Data\images/0412715eba9642e19f8c6be54b7318c2.png,416,416,ANOM,81,73,121,114
Data\images/0412715eba9642e19f8c6be54b7318c2.png,416,416,ANOM,267,11,312,32
Data\images/0412715eba9642e19f8c6be54b7318c2.png,416,416,ANOM,156,193,179,209
Data\images/043f519dede14e1aa7af4081870c705f.png,416,416,ANOM,216,260,242,283
Data\images/043f519dede14e1aa7af4081870c705f.png,416,416,ANOM,63,223,99,263
Data\images/043f519dede14e1aa7af4081870c705f.png,416,416,ANOM,109,188,141,236
Data\images/043f519dede14e1aa7af4081870c705f.png,416,416,OTHPAR,290,241,306,261
Data\images/043f519dede14e1aa7af4081870c705f.png,416,416,OTHPAR,281,282,323,321
Data\images/043f519dede14e1aa7af4081870c705f.png,416,416,ANOM,212,298,235,318
Data\images/043f519dede14e1aa7af4081870c705f.png,416,416,ANOM,213,139,229,152
Data\images/043f519dede14e1aa7af4081870c705f.png,416,416,ANOM,369,253,385,271
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,ANOM,326,206,358,235
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,POL,114,216,164,257
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,ANOM,179,53,209,92
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,POL,251,60,314,99
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,POL,74,200,122,246
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,POL,116,335,175,384
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,POL,151,166,191,204
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,POL,241,255,296,301
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,POL,326,96,374,141
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,POL,9,283,61,330
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,ANOM,173,237,203,265
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,POL,83,87,131,127
Data\images/046d6186d7d04111b3a1268873a0457f.png,416,416,ANOM,164,59,177,153
Data\images/0474b81175f640078f381e4721bc0c6f.png,416,416,MOL,245,103,265,123
Data\images/0474b81175f640078f381e4721bc0c6f.png,416,416,MOL,15,189,32,205
Data\images/0474b81175f640078f381e4721bc0c6f.png,416,416,OTHPAR,229,141,291,192
Data\images/0474b81175f640078f381e4721bc0c6f.png,416,416,OTHPAR,154,173,183,196
Data\images/0474b81175f640078f381e4721bc0c6f.png,416,416,OTHPAR,286,122,306,142
Data\images/0474b81175f640078f381e4721bc0c6f.png,416,416,OTHPAR,95,70,107,86
Data\images/0474b81175f640078f381e4721bc0c6f.png,416,416,ANOM,153,144,165,157
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,ANOM,75,12,139,46
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,OTHPAR,181,220,214,251
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,OTHPAR,127,174,144,192
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,OTHPAR,369,52,391,70
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,MOL,135,56,157,79
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,MOL,203,327,218,341
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,MOL,357,35,374,49
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,MOL,177,135,193,153
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,ANOM,36,39,40,250
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,OTHPAR,5,244,21,260
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,OTHPAR,140,189,156,203
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,OTHPAR,108,188,125,205
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,OTHPAR,113,202,127,215
Data\images/04cdb755b14142efb5ba75c5e92abb48.png,416,416,OTHPAR,335,388,347,404
Data\images/050c862aef47462c8f369f989499e535.png,416,416,OTHPAR,151,84,179,106
Data\images/050c862aef47462c8f369f989499e535.png,416,416,POL,61,195,126,260
Data\images/050c862aef47462c8f369f989499e535.png,416,416,OTHPAR,121,131,138,145
Data\images/050c862aef47462c8f369f989499e535.png,416,416,ANOM,178,33,202,51
Data\images/050c862aef47462c8f369f989499e535.png,416,416,ANOM,133,326,159,348
Data\images/050c862aef47462c8f369f989499e535.png,416,416,ANOM,64,340,85,355
Data\images/050c862aef47462c8f369f989499e535.png,416,416,OTHPAR,308,87,325,100
Data\images/050c862aef47462c8f369f989499e535.png,416,416,ANOM,155,153,176,186
Data\images/054f23b8ce3140f69585d50303c93279.png,416,416,POL,194,104,265,182
Data\images/054f23b8ce3140f69585d50303c93279.png,416,416,POL,299,240,383,325
Data\images/054f23b8ce3140f69585d50303c93279.png,416,416,POL,72,221,141,291
Data\images/054f23b8ce3140f69585d50303c93279.png,416,416,POL,6,203,79,283
Data\images/054f23b8ce3140f69585d50303c93279.png,416,416,ANOM,310,196,332,225
Data\images/05605e1e7b4644ec875342ce63976940.png,416,416,OTHPAR,18,283,37,301
Data\images/05605e1e7b4644ec875342ce63976940.png,416,416,MOL,26,186,48,210
Data\images/05605e1e7b4644ec875342ce63976940.png,416,416,MOL,257,150,273,166
Data\images/05605e1e7b4644ec875342ce63976940.png,416,416,OTHPAR,368,45,397,64
Data\images/05605e1e7b4644ec875342ce63976940.png,416,416,OTHPAR,145,219,168,242
Data\images/05605e1e7b4644ec875342ce63976940.png,416,416,POL,271,210,332,283
Data\images/05605e1e7b4644ec875342ce63976940.png,416,416,POL,330,313,386,371
Data\images/05605e1e7b4644ec875342ce63976940.png,416,416,ANOM,288,69,303,89
Data\images/05605e1e7b4644ec875342ce63976940.png,416,416,ANOM,238,127,246,331
Data\images/0569f8d0b37c4060b1fa13bb5c5f555b.png,416,416,OTHPAR,227,118,273,170
Data\images/0569f8d0b37c4060b1fa13bb5c5f555b.png,416,416,ANOM,338,28,348,42
Data\images/0569f8d0b37c4060b1fa13bb5c5f555b.png,416,416,ANOM,42,8,54,23
Data\images/05771fb923244b34a38f72c88ee4db93.png,416,416,POL,258,170,366,283
Data\images/05771fb923244b34a38f72c88ee4db93.png,416,416,POL,75,73,178,158
Data\images/05771fb923244b34a38f72c88ee4db93.png,416,416,POL,114,186,234,301
Data\images/05771fb923244b34a38f72c88ee4db93.png,416,416,ANOM,184,76,218,110
Data\images/05771fb923244b34a38f72c88ee4db93.png,416,416,ANOM,328,95,353,116
Data\images/068b13b5c7204806921a784413e3faa8.png,416,416,ANOM,236,52,252,71
Data\images/068b13b5c7204806921a784413e3faa8.png,416,416,ANOM,72,370,90,387
Data\images/068b13b5c7204806921a784413e3faa8.png,416,416,OTHPAR,193,197,205,210
Data\images/068b13b5c7204806921a784413e3faa8.png,416,416,OTHPAR,180,306,236,368
Data\images/068b13b5c7204806921a784413e3faa8.png,416,416,OTHPAR,125,100,138,113
Data\images/068b13b5c7204806921a784413e3faa8.png,416,416,OTHPAR,357,237,403,276
Data\images/068b13b5c7204806921a784413e3faa8.png,416,416,ANOM,357,322,390,355
Data\images/068b13b5c7204806921a784413e3faa8.png,416,416,ANOM,37,348,54,365
Data\images/068b13b5c7204806921a784413e3faa8.png,416,416,OTHPAR,92,117,114,136
Data\images/068b13b5c7204806921a784413e3faa8.png,416,416,OTHPAR,330,296,353,318
Data\images/068b13b5c7204806921a784413e3faa8.png,416,416,ANOM,45,124,62,143
Data\images/068b13b5c7204806921a784413e3faa8.png,416,416,OTHPAR,384,139,394,153
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,OTHPAR,77,212,108,235
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,OTHPAR,130,200,145,221
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,MOL,221,199,237,216
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,OTHPAR,176,111,235,168
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,MOL,274,319,288,335
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,OTHPAR,377,102,409,132
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,ANOM,28,186,70,239
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,MOL,36,14,61,42
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,ANOM,169,247,188,265
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,ANOM,145,244,159,254
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,ANOM,121,366,133,378
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,OTHPAR,75,181,92,202
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,ANOM,313,26,322,206
Data\images/0921a89e643c4de691ab0108b30c4f8c.png,416,416,ANOM,118,198,132,211
Data\images/09312cdd3d4b4519acabe4fe885009ef.png,416,416,ANOM,327,190,340,205
Data\images/09312cdd3d4b4519acabe4fe885009ef.png,416,416,ANOM,405,205,416,216
Data\images/09b0bdba03d24b5cbfd39226a5281849.png,416,416,MOL,98,218,116,234
Data\images/09b0bdba03d24b5cbfd39226a5281849.png,416,416,MOL,383,119,400,133
Data\images/09b801de17854a41bf05ecf5055f0061.png,416,416,POL,129,293,203,355
Data\images/09b801de17854a41bf05ecf5055f0061.png,416,416,POL,206,254,286,310
Data\images/09b801de17854a41bf05ecf5055f0061.png,416,416,ANOM,98,1,121,31
Data\images/09b801de17854a41bf05ecf5055f0061.png,416,416,POL,116,67,186,137
Data\images/09b801de17854a41bf05ecf5055f0061.png,416,416,POL,327,90,406,150
Data\images/09b801de17854a41bf05ecf5055f0061.png,416,416,POL,254,70,337,134
Data\images/09b801de17854a41bf05ecf5055f0061.png,416,416,POL,294,311,373,371
Data\images/09b801de17854a41bf05ecf5055f0061.png,416,416,POL,38,260,119,325
Data\images/09b801de17854a41bf05ecf5055f0061.png,416,416,ANOM,255,234,264,253
Data\images/09b801de17854a41bf05ecf5055f0061.png,416,416,ANOM,195,137,205,152
Data\images/09b801de17854a41bf05ecf5055f0061.png,416,416,ANOM,325,2,336,16
Data\images/09b801de17854a41bf05ecf5055f0061.png,416,416,OTHPAR,388,404,403,414
Data\images/0a33efb3bedd4a73bee75e88a1253f5a.png,416,416,POL,303,146,359,223
Data\images/0a33efb3bedd4a73bee75e88a1253f5a.png,416,416,POL,174,47,255,115
Data\images/0a33efb3bedd4a73bee75e88a1253f5a.png,416,416,POL,229,153,296,234
Data\images/0a33efb3bedd4a73bee75e88a1253f5a.png,416,416,ANOM,122,77,139,98
Data\images/0a33efb3bedd4a73bee75e88a1253f5a.png,416,416,ANOM,171,47,180,64
Data\images/0a33efb3bedd4a73bee75e88a1253f5a.png,416,416,ANOM,168,74,175,91
Data\images/0a377556a92740d9970b562884696b40.png,416,416,ANOM,281,10,314,44
Data\images/0a377556a92740d9970b562884696b40.png,416,416,POL,174,294,235,361
Data\images/0a377556a92740d9970b562884696b40.png,416,416,ANOM,83,275,111,312
Data\images/0a377556a92740d9970b562884696b40.png,416,416,POL,330,149,393,222
Data\images/0a377556a92740d9970b562884696b40.png,416,416,ANOM,164,176,184,193
Data\images/0a377556a92740d9970b562884696b40.png,416,416,ANOM,293,131,324,166
Data\images/0a377556a92740d9970b562884696b40.png,416,416,ANOM,340,237,376,263
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,OTHPAR,243,62,308,111
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,MOL,193,297,212,313
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,OTHPAR,34,33,52,53
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,MOL,317,101,336,130
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,OTHPAR,180,39,197,56
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,OTHPAR,312,241,331,258
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,OTHPAR,293,384,315,402
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,OTHPAR,212,238,229,258
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,OTHPAR,223,270,259,294
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,ANOM,255,125,278,414
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,ANOM,133,265,145,286
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,ANOM,251,0,274,57
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,ANOM,210,173,234,196
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,ANOM,165,70,178,415
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,ANOM,29,286,44,301
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,ANOM,275,194,297,249
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,ANOM,343,264,372,284
Data\images/0b1048c4712c43b18ac954de7005176b.png,416,416,ANOM,44,47,66,62
Data\images/0b52e716bd694c8585920bb92c552533.png,416,416,MOL,320,16,346,46
Data\images/0b52e716bd694c8585920bb92c552533.png,416,416,ANOM,238,286,261,308
Data\images/0c4c88dfeea04de19ae8d03c0b31574a.png,416,416,ANOM,388,80,407,95
Data\images/0c4c88dfeea04de19ae8d03c0b31574a.png,416,416,ANOM,148,267,172,294
Data\images/0c4c88dfeea04de19ae8d03c0b31574a.png,416,416,ANOM,219,378,239,397
Data\images/0c4c88dfeea04de19ae8d03c0b31574a.png,416,416,OTHPAR,134,159,189,211
Data\images/0c4c88dfeea04de19ae8d03c0b31574a.png,416,416,OTHPAR,257,141,295,176
Data\images/0c4c88dfeea04de19ae8d03c0b31574a.png,416,416,ANOM,341,123,358,155
Data\images/0ca68da75ffa4021bb28101d73d5d248.png,416,416,OTHPAR,190,50,216,74
Data\images/0ca68da75ffa4021bb28101d73d5d248.png,416,416,ANOM,13,3,19,170
Data\images/0ca68da75ffa4021bb28101d73d5d248.png,416,416,ANOM,163,185,174,353
Data\images/0ca68da75ffa4021bb28101d73d5d248.png,416,416,ANOM,270,150,286,168
Data\images/0ca68da75ffa4021bb28101d73d5d248.png,416,416,ANOM,11,188,18,366
Data\images/0ca68da75ffa4021bb28101d73d5d248.png,416,416,OTHPAR,367,316,392,340
Data\images/0ca68da75ffa4021bb28101d73d5d248.png,416,416,MOL,218,72,241,101
Data\images/0ca68da75ffa4021bb28101d73d5d248.png,416,416,ANOM,149,242,158,258
Data\images/0d281c7cdc8e4132af977ea34f538417.png,416,416,MOL,371,46,394,64
Data\images/0d281c7cdc8e4132af977ea34f538417.png,416,416,ANOM,257,213,273,236
Data\images/0d281c7cdc8e4132af977ea34f538417.png,416,416,MOL,143,51,163,67
Data\images/0d281c7cdc8e4132af977ea34f538417.png,416,416,ANOM,180,372,210,395
Data\images/0d3bbd3820394fc89342ff9d3b558ce6.png,416,416,OTHPAR,128,152,157,182
Data\images/0d3bbd3820394fc89342ff9d3b558ce6.png,416,416,OTHPAR,186,210,245,260
Data\images/0d3bbd3820394fc89342ff9d3b558ce6.png,416,416,MOL,319,131,359,159
Data\images/0d3bbd3820394fc89342ff9d3b558ce6.png,416,416,ANOM,34,219,63,239
Data\images/0d3bbd3820394fc89342ff9d3b558ce6.png,416,416,ANOM,172,118,210,154
Data\images/0d3bbd3820394fc89342ff9d3b558ce6.png,416,416,ANOM,248,237,262,252
Data\images/0dd06915169747acb53c78d34cc06c47.png,416,416,OTHPAR,290,386,323,410
Data\images/0dd06915169747acb53c78d34cc06c47.png,416,416,MOL,272,383,291,403
Data\images/0dd06915169747acb53c78d34cc06c47.png,416,416,POL,159,53,221,120
Data\images/0dd06915169747acb53c78d34cc06c47.png,416,416,OTHPAR,147,114,190,148
Data\images/0dd06915169747acb53c78d34cc06c47.png,416,416,OTHPAR,294,230,317,252
Data\images/0dd06915169747acb53c78d34cc06c47.png,416,416,OTHPAR,294,43,316,66
Data\images/0dd06915169747acb53c78d34cc06c47.png,416,416,ANOM,91,147,114,163
Data\images/0e139f93dfe14a61b37353ef6c393d5d.png,416,416,OTHPAR,255,370,275,391
Data\images/0e139f93dfe14a61b37353ef6c393d5d.png,416,416,MOL,50,133,72,156
Data\images/0e139f93dfe14a61b37353ef6c393d5d.png,416,416,OTHPAR,189,268,206,290
Data\images/0e139f93dfe14a61b37353ef6c393d5d.png,416,416,OTHPAR,293,16,337,53
Data\images/0e700788a7f541ea9ad532d9346be96d.png,416,416,ANOM,167,234,202,251
Data\images/0e700788a7f541ea9ad532d9346be96d.png,416,416,MOL,126,104,154,136
Data\images/0e97137047484eaea5a1ef1a90748be1.png,416,416,ANOM,258,370,279,388
Data\images/0e97137047484eaea5a1ef1a90748be1.png,416,416,MOL,61,103,83,127
Data\images/0e97137047484eaea5a1ef1a90748be1.png,416,416,OTHPAR,358,230,375,247
Data\images/0e97137047484eaea5a1ef1a90748be1.png,416,416,OTHPAR,371,127,394,151
Data\images/0e97137047484eaea5a1ef1a90748be1.png,416,416,ANOM,358,230,375,247
Data\images/0e97137047484eaea5a1ef1a90748be1.png,416,416,ANOM,73,295,88,309
Data\images/0e97137047484eaea5a1ef1a90748be1.png,416,416,OTHPAR,137,333,156,355
Data\images/0e97137047484eaea5a1ef1a90748be1.png,416,416,OTHPAR,242,325,288,367
Data\images/0e97137047484eaea5a1ef1a90748be1.png,416,416,OTHPAR,61,103,83,127
Data\images/0e97137047484eaea5a1ef1a90748be1.png,416,416,OTHPAR,359,186,377,203
Data\images/0e97137047484eaea5a1ef1a90748be1.png,416,416,OTHPAR,172,81,223,135
Data\images/0e97137047484eaea5a1ef1a90748be1.png,416,416,OTHPAR,229,303,254,328
Data\images/0eb57db1e4ea488e86fbc7f2b6efbf13.png,416,416,POL,261,154,322,232
Data\images/0eb57db1e4ea488e86fbc7f2b6efbf13.png,416,416,POL,163,19,269,101
Data\images/0eb57db1e4ea488e86fbc7f2b6efbf13.png,416,416,POL,34,151,102,230
Data\images/0eb57db1e4ea488e86fbc7f2b6efbf13.png,416,416,ANOM,159,102,184,307
Data\images/0eb57db1e4ea488e86fbc7f2b6efbf13.png,416,416,POL,199,299,268,366
Data\images/0eb57db1e4ea488e86fbc7f2b6efbf13.png,416,416,ANOM,339,136,371,167
Data\images/0eb57db1e4ea488e86fbc7f2b6efbf13.png,416,416,POL,143,352,200,413
Data\images/0eb57db1e4ea488e86fbc7f2b6efbf13.png,416,416,POL,313,257,375,346
Data\images/0eb57db1e4ea488e86fbc7f2b6efbf13.png,416,416,ANOM,275,353,290,364
Data\images/0eb57db1e4ea488e86fbc7f2b6efbf13.png,416,416,ANOM,135,311,159,343
Data\images/0eb57db1e4ea488e86fbc7f2b6efbf13.png,416,416,ANOM,371,179,388,196
Data\images/0eb57db1e4ea488e86fbc7f2b6efbf13.png,416,416,ANOM,323,152,344,176
Data\images/106e7b249200433ebecfeedf01c937bb.png,416,416,OTHPAR,314,219,332,242
Data\images/106e7b249200433ebecfeedf01c937bb.png,416,416,OTHPAR,223,163,270,203
Data\images/106e7b249200433ebecfeedf01c937bb.png,416,416,OTHPAR,13,254,48,298
Data\images/106e7b249200433ebecfeedf01c937bb.png,416,416,OTHPAR,237,300,254,315
Data\images/106e7b249200433ebecfeedf01c937bb.png,416,416,ANOM,174,207,203,229
Data\images/106e7b249200433ebecfeedf01c937bb.png,416,416,ANOM,346,203,358,219
Data\images/106e7b249200433ebecfeedf01c937bb.png,416,416,OTHPAR,26,161,44,178
Data\images/106e7b249200433ebecfeedf01c937bb.png,416,416,ANOM,5,154,21,170
Data\images/106e7b249200433ebecfeedf01c937bb.png,416,416,OTHPAR,206,307,219,324
Data\images/10a31980f67143e88f8e3f9e56ecc3e9.png,416,416,OTHPAR,275,354,289,368
Data\images/10a31980f67143e88f8e3f9e56ecc3e9.png,416,416,ANOM,222,61,238,87
Data\images/10a31980f67143e88f8e3f9e56ecc3e9.png,416,416,ANOM,142,117,150,174
Data\images/10a31980f67143e88f8e3f9e56ecc3e9.png,416,416,ANOM,218,278,229,411
Data\images/10a31980f67143e88f8e3f9e56ecc3e9.png,416,416,ANOM,179,261,199,277
Data\images/10a31980f67143e88f8e3f9e56ecc3e9.png,416,416,OTHPAR,260,66,279,88
Data\images/10a31980f67143e88f8e3f9e56ecc3e9.png,416,416,ANOM,218,125,230,268
Data\images/10a31980f67143e88f8e3f9e56ecc3e9.png,416,416,OTHPAR,140,65,169,97
